Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,196.2,-75.4,-90,bottom
C1,1u,C_0402_1005Metric,169.8,-84.2,180,bottom
C2,1u,C_0402_1005Metric,171.2,-88,180,bottom
C6,100n,C_0402_1005Metric,172.4,-95.4,-135,bottom
C7,100n,C_0402_1005Metric,180.8,-95,-45,bottom
C8,100n,C_0402_1005Metric,184.2,-91.4,0,bottom
C9,22p,C_0402_1005Metric,178.4,-97.2,135,bottom
C10,22p,C_0402_1005Metric,175.8,-101,-45,bottom
C11,100n,C_0402_1005Metric,189.6,-84.92,90,bottom
D1,RED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,167.0275,-71.4,180,bottom
F1,Fuse_Small,Fuse_1206_3216Metric,175.6,-82.2,-90,bottom
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,158.4,-77.8,180,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,176.8,-74,0,bottom
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,158.4,-91.325,180,bottom
LED1,choc_SK6812MINI-E,LED_choc_6028R,205.718585,-74.967444,0,bottom
LED2,choc_SK6812MINI-E,LED_choc_6028R,186.468585,-75.067444,0,bottom
LED3,choc_SK6812MINI-E,LED_choc_6028R,167.268585,-74.967444,0,bottom
LED4,choc_SK6812MINI-E,LED_choc_6028R,205.693585,-94.117444,180,bottom
LED5,choc_SK6812MINI-E,LED_choc_6028R,186.468585,-94.167444,180,bottom
LED6,choc_SK6812MINI-E,LED_choc_6028R,167.268585,-94.167444,180,bottom
R1,1k5,R_0402_1005Metric,164.69,-71.4,0,bottom
R4,5k1,R_0402_1005Metric,172.4,-91.8,135,bottom
R5,27,R_0402_1005Metric,179.4,-83.6,135,bottom
R6,27,R_0402_1005Metric,178.6,-84.2,135,bottom
R7,1k,R_0402_1005Metric,174.2,-96,-90,bottom
R8,5k1,R_0402_1005Metric,194,-85.4,180,bottom
R9,5k1,R_0402_1005Metric,196.2,-85.4,180,bottom
R10,1k,R_0402_1005Metric,196.8,-81.8,90,bottom
R11,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,173.8,-82.1975,-90,bottom
RST1,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,174.8,-105.8,180,bottom
U1,XC6206PxxxMR,SOT-23-3,172.6,-85.4,90,bottom
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,177.8,-90.6,135,bottom
U4,74LVC2T45DC,VSSOP-8_2.3x2mm_P0.5mm,169.2,-89.8,180,bottom
U5,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,193.2,-88.8,180,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,177,-99,135,bottom
